Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-08-12,Arsenal,Chelsea,2,1,H
2023-08-12,Liverpool,Man City,1,3,A
2023-08-13,Man United,Tottenham,2,2,D
2023-08-13,Newcastle,Brighton,1,0,H
2023-08-14,West Ham,Aston Villa,0,2,A
2023-08-14,Everton,Burnley,1,1,D
2023-08-19,Arsenal,Man United,3,1,H
2023-08-19,Chelsea,Liverpool,1,1,D
2023-08-20,Man City,Tottenham,4,0,H
2023-08-20,Brighton,Newcastle,2,2,D
2023-08-21,Aston Villa,Everton,2,0,H
2023-08-21,Burnley,West Ham,0,1,A
2023-08-26,Liverpool,Arsenal,2,2,D
2023-08-26,Man United,Man City,1,2,A
2023-08-27,Tottenham,Chelsea,3,1,H
2023-08-27,Newcastle,Aston Villa,1,1,D
2023-08-28,Brighton,Everton,2,0,H
2023-08-28,West Ham,Burnley,1,0,H
2023-09-02,Arsenal,Newcastle,2,0,H
2023-09-02,Man City,West Ham,3,1,H
2023-09-03,Liverpool,Brighton,2,1,H
2023-09-03,Chelsea,Aston Villa,0,1,A
2023-09-09,Man United,Everton,2,0,H
2023-09-09,Tottenham,Burnley,3,0,H
2023-09-10,Newcastle,Liverpool,1,2,A
2023-09-10,Aston Villa,Man City,1,3,A
2023-09-16,Arsenal,Tottenham,2,2,D
2023-09-16,Chelsea,Man United,1,2,A
2023-09-17,Brighton,West Ham,2,1,H
2023-09-17,Everton,Liverpool,0,2,A
2023-09-23,Man City,Arsenal,1,1,D
2023-09-23,Burnley,Newcastle,0,2,A
2023-09-24,Tottenham,Aston Villa,2,1,H
2023-09-24,West Ham,Chelsea,1,1,D
2023-09-30,Liverpool,Man United,2,0,H
2023-09-30,Arsenal,Brighton,3,0,H
2023-10-01,Everton,Man City,0,4,A
2023-10-01,Newcastle,Tottenham,2,1,H
2023-10-07,Aston Villa,West Ham,2,2,D
2023-10-07,Chelsea,Burnley,1,0,H
2023-10-08,Man United,Arsenal,1,2,A
2023-10-08,Brighton,Liverpool,2,2,D
